world,regime,policy,delivered_gbit,completion_rate,weighted_met,n_met,n_partial,n_rejected,fairness,wall_s,n_quotes,optimal
4,B-real,slack,706.0516230844798,0.4,0.38095238095238093,4,6,0,0.956003737993893,0.007916600006865337,55,
4,B-real,oppcost,706.0516230844798,0.4,0.38095238095238093,4,6,0,0.956003737993893,0.008897299994714558,65,
4,B-real,ratio,706.0516230844798,0.4,0.38095238095238093,4,6,0,0.956003737993893,0.012425099994288757,55,
4,B-real,w_avail,706.0516230844798,0.4,0.38095238095238093,4,6,0,0.956003737993893,0.009040100005222484,55,
4,B-real,oracle/throughput,732.7668948462405,0.4,0.38095238095238093,4,6,0,0.9651104312096221,0.0024736000050324947,0,True
4,B-real,oracle/priority,724.5168948462406,0.4,0.38095238095238093,4,6,0,0.9623224940954768,0.004128800006583333,0,True
4,C-severe,fcfs,722.4356315123205,0.3,0.23809523809523808,3,7,0,0.9462807353282395,0.0014650000084657222,10,
4,C-severe,edf,718.6132882053594,0.3,0.23809523809523808,3,7,0,0.9446976176346288,0.0018314000044483691,10,
4,C-severe,tier-deadline,718.6132882053594,0.3,0.23809523809523808,3,7,0,0.9446976176346288,0.0012111000251024961,10,
4,C-severe,deadline-tier,718.6132882053594,0.3,0.23809523809523808,3,7,0,0.9446976176346288,0.0025897000159602612,10,
4,C-severe,density,734.4224114019411,0.3,0.23809523809523808,3,7,0,0.9503428945941035,0.001226700027473271,10,
4,C-severe,slack,722.4356315123205,0.3,0.23809523809523808,3,7,0,0.9462807353282395,0.008343800000147894,55,
4,C-severe,oppcost,722.4356315123205,0.3,0.23809523809523808,3,7,0,0.9462807353282395,0.010637100000167266,61,
4,C-severe,ratio,722.4356315123205,0.3,0.23809523809523808,3,7,0,0.9462807353282395,0.010520600015297532,55,
4,C-severe,w_avail,722.4356315123205,0.3,0.23809523809523808,3,7,0,0.9462807353282395,0.01146320000407286,55,
4,C-severe,oracle/throughput,748.6466959802484,0.3,0.23809523809523808,3,7,0,0.9544335062295799,0.0020377000037115067,0,True
4,C-severe,oracle/priority,748.6466959802484,0.3,0.23809523809523808,3,7,0,0.9544335062295799,0.002984699996886775,0,True
